rbo  Rickettsia bellii OSU 85-389
ots  Orientia tsutsugamushi Boryong
ott  Orientia tsutsugamushi Ikeda
wol  Wolbachia wMel
wbm  Wolbachia wBm
wri  Wolbachia sp. wRi
wpi  Wolbachia pipientis
ama  Anaplasma marginale St. Maries
amf  Anaplasma marginale Florida
acn  Anaplasma centrale
aph  Anaplasma phagocytophilum
eru  Ehrlichia ruminantium Welgevonden (South Africa)
erw  Ehrlichia ruminantium Welgevonden (France)
erg  Ehrlichia ruminantium Gardel
ecn  Ehrlichia canis
ech  Ehrlichia chaffeensis
nse  Neorickettsia sennetsu
nri  Neorickettsia risticii
pub  Candidatus Pelagibacter ubique
pel  Candidatus Pelagibacter sp. IMCC9063
mmn  Candidatus Midichloria mitochondrii
mlo  Mesorhizobium loti
mci  Mesorhizobium ciceri
mop  Mesorhizobium opportunistum
mes  Mesorhizobium sp. BNC1
pla  Parvibaculum lavamentivorans
sme  Sinorhizobium meliloti 1021
smk  Sinorhizobium meliloti AK83
smd  Sinorhizobium medicae
rhi  Sinorhizobium fredii NGR234
sfh  Sinorhizobium fredii HH103
atu  Agrobacterium tumefaciens C58
ara  Agrobacterium radiobacter K84
avi  Agrobacterium vitis S4
agr  Agrobacterium sp. H13-3
ret  Rhizobium etli CFN 42
rec  Rhizobium etli CIAT 652
rle  Rhizobium leguminosarum
rlt  Rhizobium leguminosarum bv. trifolii WSM2304
rlg  Rhizobium leguminosarum bv. trifolii WSM1325
las  Candidatus Liberibacter asiaticus
lso  Candidatus Liberibacter solanacearum
bme  Brucella melitensis bv. 1 16M
bmi  Brucella melitensis ATCC 23457
bmf  Brucella melitensis biovar Abortus
bmb  Brucella abortus 9-941
bmc  Brucella abortus S19
baa  Brucella abortus A13334
bms  Brucella suis 1330
